id,name,metacritic,released,rating,playtime,achievements_count,ratings_count,suggestions_count,reviews_count,platforms,developers,genres,publishers,esrb_rating
10001,Serious Sam Fusion 2017 (beta),,2017-03-20,3.07,1,76,227,541,227,Linux||macOS||PC,Croteam,Action||Indie,Devolver Digital||Croteam,
10002,Life is Feudal: Forest Village,,2016-08-26,3.74,3,29,18,596,19,PC,Mindillusion,Strategy||Simulation||Indie,Bitbox,
10004,Mages of Mystralia,75.0,2017-05-17,3.25,3,104,16,438,16,PC||Xbox One||PlayStation 4||Nintendo Switch,Borealys Games,Action||Adventure||Indie,Borealys Games,
10005,SEUM: Speedrunners from Hell,,2016-07-27,3.74,4,57,34,514,34,macOS||PC||Linux||PlayStation 4||Xbox One,Headup Games||Pine Studio,Action||Shooter||Adventure||Arcade||Indie,Headup Games,Teen
10008,Sudden Strike 4,77.0,2017-08-10,3.12,2,121,32,546,33,macOS||iOS||Linux||PC||PlayStation 4,Kalypso Media||Kite Games,Action||Strategy,Kalypso Media||Kalypso,Mature
10013,MXGP3 - The Official Motocross Videogame,,2017-05-29,2.78,3,109,18,567,18,Xbox One||PC||Nintendo Switch||PlayStation 4,Milestone,Simulation||Sports||Racing,Milestone,Everyone 10+
10015,Mortal Online,,2015-08-31,2.48,1,49,21,491,21,PC,Star Vault,Action||RPG||Massively Multiplayer||Indie,Star Vault,
10016,Of Guards And Thieves,,2014-07-16,2.54,1,55,37,650,37,PC,Subvert Games,Action||Shooter||Casual||Indie,Subvert Games,
10020,Arizona Sunshine,81.0,2016-12-06,3.76,3,87,42,605,42,PC||PlayStation 4,Vertigo Games||Jaywalkers Interactive,Action||Adventure||Indie,Vertigo Games,Adults Only
10023,Geneshift,,2017-04-27,2.2,3,40,139,380,139,Linux||PC,Nik Nak Studios,Action||RPG||Indie,Nik Nak Studios,
10025,BRAIN / OUT,,2017-02-24,3.03,1,110,68,174,68,PC||macOS||Linux,Desertkun,Action||Massively Multiplayer||Indie,Desertkun,
10028,Space Engineers,68.0,2013-10-23,3.54,4,58,176,479,177,PC||Xbox One,Keen Software House,Action||Strategy||Simulation||Indie,Keen Software House,
10029,Get Even,75.0,2017-06-20,3.65,3,106,72,454,72,PC||Xbox One||PlayStation 4,BANDAI NAMCO Entertainment America||The Farm 51,Action||Adventure||Indie,Bandai Namco Entertainment||BANDAI NAMCO Entertainment US,
